"","district","town"
"862","北投區","榮華里"
"863","士林區","社園里"
"864","松山區","東光里"
"865","中正區","螢圃里"
"866","內湖區","石潭里"
"867","萬華區","新安里"
"868","大同區","南芳里"
"869","大同區","南芳里"
"870","萬華區","和德里"
"871","士林區","葫蘆里"
"872","文山區","興家里"
"873","松山區","新東里"
"874","中正區","文盛里"
"875","中正區","文盛里"
"876","文山區","博嘉里"
"877","文山區","博嘉里"
"878","中正區","林興里"
"879","萬華區","頂碩里"
"880","大安區","通化里"
"881","大安區","通化里"
"882","士林區","葫蘆里"
"883","士林區","福安里"
"884","中正區","永功里"
"885","大安區","光信里"
"886","士林區","三玉里"
"887","中山區","大直里"
"888","士林區","公館里"
"889","中正區","螢圃里"
"890","大同區","隆和里"
"891","大同區","隆和里"
"892","信義區","景新里"
"893","信義區","景新里"
"894","萬華區","萬壽里"
"895","北投區","八仙里"
"896","中山區","晴光里"
"897","北投區","八仙里"
"898","萬華區","華江里"
"899","大同區","雙連里"
"900","大安區","芳和里"
"901","松山區","慈祐里"
"902","大安區","仁愛里"
"903","萬華區","綠堤里"
"904","士林區","社子里"
"905","北投區","榮光里"
"906","士林區","福中里"
"907","中正區","螢圃里"
"908","內湖區","五分里"
"909","北投區","一德里"
"910","士林區","東山里"
"911","北投區","一德里"
"912","萬華區","新忠里"
"913","內湖區","石潭里"
"914","士林區","社新里"
"915","內湖區","石潭里"
"916","文山區","興邦里"
"917","文山區","興邦里"
"918","北投區","中心里"
"919","北投區","大同里"
"920","大同區","建明里"
"921","北投區","吉慶里"
"922","士林區","福中里"
"923","松山區","東光里"
"924","萬華區","壽德里"
"925","文山區","明義里"
"926","內湖區","安泰里"
"927","內湖區","湖元里"
"928","士林區","東山里"
"929","士林區","東山里"
"930","士林區","蘭雅里"
"931","士林區","名山里"
"932","中山區","朱馥里"
"933","文山區","興豐里"
"934","文山區","興豐里"
"935","中正區","梅花里"
"936","士林區","福順里"
"937","內湖區","樂康里"
"938","文山區","試院里"
"939","文山區","試院里"
"940","內湖區","東湖里"
"941","士林區","葫蘆里"
"942","中正區","新營里"
"943","大安區","全安里"
"944","士林區","明勝里"
"945","內湖區","行善里"
"946","信義區","黎忠里"
"947","內湖區","湖濱里"
"948","萬華區","西門里"
"949","士林區","永福里"
"950","士林區","舊佳里"
"951","士林區","芝山里"
"952","中山區","金泰里"
"953","中山區","金泰里"
"954","大同區","玉泉里"
"955","北投區","大同里"
"956","士林區","聖山里"
"957","士林區","聖山里"
"958","士林區","福安里"
"959","松山區","中正里"
"960","士林區","永倫里"
"961","士林區","聖山里"
"962","士林區","聖山里"
"963","萬華區","日祥里"
"964","南港區","中研里"
"965","大同區","永樂里"
"966","內湖區","紫雲里"
"967","北投區","一德里"
"968","中山區","朱馥里"
"969","萬華區","忠德里"
"970","士林區","明勝里"
"971","中山區","朱園里"
"972","士林區","福順里"
"973","士林區","社園里"
"974","內湖區","安湖里"
"975","大同區","雙連里"
"976","大同區","雙連里"
"977","文山區","萬祥里"
"978","士林區","福華里"
"979","內湖區","港華里"
"980","大同區","建功里"
"981","大同區","雙連里"
"982","信義區","中坡里"
"983","信義區","大道里"
"984","大同區","民權里"
"985","內湖區","西康里"
"986","內湖區","葫洲里"
"987","士林區","福志里"
"988","內湖區","紫星里"
"989","士林區","天玉里"
"990","士林區","忠誠里"
"991","士林區","忠誠里"
"992","大安區","仁愛里"
"993","中山區","聚盛里"
"994","中山區","朱園里"
"995","士林區","臨溪里"
"996","松山區","民有里"
"997","士林區","社新里"
"998","松山區","莊敬里"
"999","大安區","福住里"
"1000","士林區","富光里"
"1001","士林區","天玉里"
"1002","信義區","國業里"
"1003","北投區","清江里"
"1004","北投區","桃源里"
"1005","南港區","舊莊里"
"1006","內湖區","五分里"
"1007","內湖區","瑞光里"
"1008","大安區","臨江里"
"1009","大安區","龍門里"
"1010","大安區","臨江里"
"1011","萬華區","糖?里"
"1012","中正區","南福里"
"1013","中山區","中央里"
"1014","士林區","葫東里"
"1015","松山區","吉祥里"
"1016","松山區","吉祥里"
"1017","松山區","民福里"
"1018","士林區","名山里"
"1019","士林區","名山里"
"1020","士林區","福安里"
"1021","北投區","關渡里"
"1022","文山區","萬美里"
"1023","文山區","萬美里"
"1024","士林區","天福里"
"1025","北投區","吉利里"
"1026","中山區","康樂里"
"1027","內湖區","港華里"
"1028","中山區","新庄里"
"1029","文山區","興邦里"
"1030","中山區","下埤里"
"1031","大同區","斯文里"
"1032","大同區","斯文里"
"1033","士林區","福佳里"
"1034","松山區","新東里"
"1035","士林區","葫東里"
"1036","松山區","復盛里"
"1037","北投區","中和里"
"1038","士林區","福佳里"
"1039","士林區","福佳里"
"1040","文山區","明義里"
"1041","大同區","鄰江里"
"1042","大同區","鄰江里"
"1043","士林區","忠誠里"
"1044","中正區","富水里"
"1045","南港區","九如里"
"1046","信義區","永吉里"
"1047","信義區","永吉里"
"1048","中山區","新庄里"
"1049","中正區","頂東里"
"1050","內湖區","紫陽里"
"1051","萬華區","和德里"
"1052","內湖區","湖濱里"
"1053","大安區","龍淵里"
"1054","信義區","長春里"
"1055","中山區","新庄里"
"1056","北投區","吉慶里"
"1057","北投區","大同里"
"1058","中正區","頂東里"
"1059","中正區","網溪里"
"1060","士林區","天福里"
"1061","內湖區","樂康里"
"1062","北投區","長安里"
"1063","信義區","國業里"
"1064","大安區","全安里"
"1065","萬華區","新安里"
"1066","萬華區","保德里"
"1067","中正區","林興里"
"1068","大安區","龍淵里"
"1069","松山區","慈祐里"
"1070","中山區","復華里"
"1071","大安區","黎和里"
"1072","大安區","黎和里"
"1073","大同區","鄰江里"
"1074","北投區","清江里"
"1075","大安區","光武里"
"1076","北投區","清江里"
"1077","萬華區","和德里"
"1078","松山區","鵬程里"
"1079","中山區","行孝里"
"1080","北投區","立賢里"
"1081","松山區","民有里"
"1082","士林區","天玉里"
"1083","士林區","天玉里"
"1084","信義區","雙和里"
"1085","信義區","三犁里"
"1086","中山區","朱園里"
"1087","士林區","天山里"
"1088","士林區","天山里"
"1089","內湖區","港墘里"
"1090","士林區","社新里"
"1091","士林區","天福里"
"1092","大安區","黎和里"
"1093","北投區","中和里"
"1094","士林區","天福里"
"1095","士林區","社新里"
"1096","士林區","永倫里"
"1097","士林區","天福里"
"1098","中山區","康樂里"
"1099","中山區","康樂里"
"1100","中山區","朱園里"
"1101","大安區","大學里"
"1102","大安區","大學里"
"1103","大安區","龍圖里"
"1104","大安區","義村里"
"1105","中正區","梅花里"
"1106","松山區","慈祐里"
"1107","士林區","天祿里"
"1108","文山區","指南里"
"1109","大同區","大有里"
"1110","大安區","華聲里"
"1111","大同區","雙連里"
"1112","大同區","雙連里"
"1113","萬華區","和德里"
"1114","內湖區","葫洲里"
"1115","內湖區","葫洲里"
"1116","松山區","東光里"
"1117","中山區","中原里"
"1118","萬華區","華中里"
"1119","萬華區","和德里"
"1120","內湖區","安湖里"
"1121","信義區","三張里"
"1122","信義區","三張里"
"1123","文山區","樟新里"
"1124","信義區","雅祥里"
"1125","大安區","全安里"
"1126","南港區","南港里"
"1127","大安區","全安里"
"1128","大同區","星明里"
"1129","內湖區","金湖里"
"1130","內湖區","清白里"
"1131","文山區","樟新里"
"1132","文山區","樟新里"
"1133","信義區","西村里"
"1134","士林區","天祿里"
"1135","松山區","復盛里"
"1136","文山區","樟文里"
"1137","松山區","新東里"
"1138","北投區","永欣里"
"1139","士林區","前港里"
"1140","北投區","石牌里"
"1141","北投區","豐年里"
"1142","中山區","金泰里"
"1143","松山區","莊敬里"
"1144","士林區","天山里"
"1145","士林區","天山里"
"1146","內湖區","金湖里"
"1147","文山區","明義里"
"1148","北投區","洲美里"
"1149","松山區","龍田里"
"1150","松山區","龍田里"
"1151","中正區","新營里"
"1152","大同區","隆和里"
"1153","士林區","義信里"
"1154","內湖區","碧山里"
"1155","北投區","清江里"
"1156","大安區","龍圖里"
"1157","大同區","星明里"
"1158","大同區","星明里"
"1159","中正區","忠勤里"
"1160","萬華區","興德里"
"1161","士林區","前港里"
"1162","士林區","福華里"
"1163","士林區","後港里"
"1164","士林區","永倫里"
"1165","士林區","社園里"
"1166","松山區","美仁里"
"1167","中山區","興亞里"
"1168","文山區","樟新里"
"1169","內湖區","紫星里"
"1170","內湖區","瑞光里"
"1171","南港區","新富里"
"1172","士林區","蘭雅里"
"1173","松山區","安平里"
"1174","信義區","黎平里"
"1175","士林區","德行里"
"1176","內湖區","紫星里"
"1177","士林區","社新里"
"1178","北投區","文林里"
"1179","士林區","蘭興里"
"1180","萬華區","日祥里"
"1181","士林區","社子里"
"1182","北投區","中庸里"
"1183","內湖區","東湖里"
"1184","士林區","社子里"
"1185","文山區","興業里"
"1186","內湖區","碧山里"
"1187","中山區","恆安里"
"1188","文山區","明義里"
"1189","大安區","民炤里"
"1190","北投區","中心里"
"1191","內湖區","葫洲里"
"1192","萬華區","忠貞里"
"1193","內湖區","石潭里"
"1194","士林區","蘭雅里"
"1195","士林區","蘭雅里"
"1196","信義區","黎忠里"
"1197","內湖區","五分里"
"1198","大同區","保安里"
"1199","北投區","開明里"
"1200","北投區","開明里"
"1201","大同區","延平里"
"1202","大同區","延平里"
"1203","士林區","福華里"
"1204","士林區","福華里"
"1205","內湖區","金龍里"
"1206","內湖區","康寧里"
"1207","北投區","永和里"
"1208","松山區","慈祐里"
"1209","大安區","民炤里"
"1210","松山區","慈祐里"
"1211","萬華區","錦德里"
"1212","北投區","中和里"
"1213","士林區","福順里"
"1214","士林區","福順里"
"1215","士林區","永倫里"
"1216","南港區","東新里"
"1217","內湖區","五分里"
"1218","內湖區","港華里"
"1219","士林區","福中里"
"1220","萬華區","新安里"
"1221","松山區","福成里"
"1222","中正區","頂東里"
"1223","內湖區","金湖里"
"1224","內湖區","金湖里"
"1225","萬華區","新和里"
"1226","北投區","振華里"
"1227","中山區","新喜里"
"1228","士林區","社新里"
"1229","中正區","新營里"
"1230","內湖區","港墘里"
"1231","中山區","康樂里"
"1232","大安區","敦煌里"
"1233","信義區","松隆里"
"1234","內湖區","西湖里"
"1235","南港區","三重里"
"1236","南港區","三重里"
"1237","內湖區","樂康里"
"1238","大安區","黎元里"
"1239","士林區","富光里"
"1240","士林區","葫蘆里"
"1241","大同區","國慶里"
"1242","大同區","國慶里"
"1243","萬華區","華江里"
"1244","北投區","林泉里"
"1245","北投區","文林里"
"1246","北投區","榮華里"
"1247","中山區","朱園里"
"1248","內湖區","五分里"
"1249","士林區","天祿里"
"1250","內湖區","五分里"
"1251","內湖區","金龍里"
"1252","北投區","稻香里"
"1253","內湖區","五分里"
"1254","文山區","明義里"
"1255","內湖區","五分里"
"1256","士林區","芝山里"
"1257","北投區","永欣里"
"1258","中山區","大直里"
"1259","士林區","福佳里"
"1260","中正區","林興里"
"1261","大安區","義安里"
"1262","士林區","福安里"
"1263","大安區","仁愛里"
"1264","大安區","義安里"
"1265","文山區","興業里"
"1266","士林區","蘭興里"
"1267","信義區","黎忠里"
"1268","內湖區","清白里"
"1269","信義區","西村里"
"1270","士林區","舊佳里"
"1271","信義區","黎忠里"
"1272","北投區","吉慶里"
"1273","內湖區","湖濱里"
"1274","內湖區","湖濱里"
"1275","內湖區","港華里"
"1276","松山區","民福里"
"1277","大安區","通安里"
"1278","中山區","中庄里"
"1279","中正區","忠勤里"
"1280","北投區","大同里"
"1281","北投區","大同里"
"1282","大安區","黎和里"
"1283","大安區","黎和里"
"1284","中山區","中原里"
"1285","萬華區","華中里"
"1286","內湖區","五分里"
"1287","士林區","承德里"
"1288","文山區","明興里"
"1289","大同區","至聖里"
"1290","大同區","至聖里"
"1291","內湖區","石潭里"
"1292","士林區","岩山里"
"1293","內湖區","石潭里"
"1294","內湖區","瑞陽里"
"1295","內湖區","瑞陽里"
"1296","中正區","河堤里"
"1297","中正區","河堤里"
"1298","大同區","永樂里"
"1299","信義區","五常里"
"1300","文山區","萬祥里"
"1301","南港區","東新里"
"1302","內湖區","港華里"
"1303","大同區","玉泉里"
"1304","松山區","自強里"
"1305","士林區","福中里"
"1306","士林區","福林里"
"1307","萬華區","頂碩里"
"1308","士林區","天和里"
"1309","北投區","振華里"
"1310","松山區","中正里"
"1311","北投區","東華里"
"1312","內湖區","安泰里"
"1313","萬華區","仁德里"
"1314","松山區","鵬程里"
"1315","北投區","開明里"
"1316","北投區","奇岩里"
"1317","大同區","建泰里"
"1318","中山區","晴光里"
"1319","內湖區","港墘里"
"1320","文山區","樟新里"
"1321","士林區","永倫里"
"1322","大安區","仁慈里"
"1323","大安區","仁慈里"
"1324","南港區","東新里"
"1325","內湖區","五分里"
"1326","北投區","裕民里"
"1327","松山區","民有里"
"1328","內湖區","紫雲里"
"1329","內湖區","紫雲里"
"1330","大同區","延平里"
"1331","北投區","中央里"
"1332","文山區","興業里"
"1333","萬華區","和德里"
"1334","中山區","晴光里"
"1335","文山區","興得里"
"1336","松山區","慈祐里"
"1337","內湖區","港墘里"
"1338","大同區","重慶里"
"1339","中山區","正得里"
"1340","中山區","正得里"
"1341","中正區","廈安里"
"1342","松山區","三民里"
"1343","北投區","奇岩里"
"1344","中正區","忠勤里"
"1345","北投區","榮光里"
"1346","中正區","富水里"
"1347","士林區","後港里"
"1348","萬華區","全德里"
"1349","內湖區","金湖里"
"1350","中山區","集英里"
"1351","士林區","永倫里"
"1352","中山區","大直里"
"1353","北投區","關渡里"
"1354","士林區","永倫里"
"1355","大安區","古莊里"
"1356","北投區","清江里"
"1357","北投區","清江里"
"1358","萬華區","富福里"
"1359","萬華區","錦德里"
"1360","士林區","天玉里"
"1361","士林區","天玉里"
"1362","大安區","群賢里"
"1363","中正區","忠勤里"
"1364","大同區","重慶里"
"1365","松山區","敦化里"
"1366","士林區","仁勇里"
"1367","中山區","正得里"
"1368","北投區","智仁里"
"1369","中山區","新生里"
"1370","文山區","明義里"
"1371","內湖區","港墘里"
"1372","北投區","榮華里"
"1373","內湖區","東湖里"
"1374","內湖區","東湖里"
"1375","中正區","建國里"
"1376","內湖區","五分里"
"1377","文山區","老泉里"
"1378","士林區","福志里"
"1379","士林區","德華里"
"1380","南港區","南港里"
"1381","中正區","忠勤里"
"1382","內湖區","金龍里"
"1383","大同區","鄰江里"
"1384","北投區","榮華里"
"1385","北投區","榮華里"
"1386","士林區","天福里"
"1387","士林區","社子里"
"1388","北投區","永和里"
"1389","士林區","仁勇里"
"1390","中山區","民安里"
"1391","士林區","葫蘆里"
"1392","松山區","新聚里"
"1393","內湖區","麗山里"
"1394","萬華區","和德里"
"1395","文山區","興邦里"
"1396","北投區","大同里"
"1397","萬華區","壽德里"
"1398","內湖區","樂康里"
"1399","內湖區","港墘里"
"1400","北投區","豐年里"
"1401","文山區","興邦里"
"1402","中山區","中吉里"
"1403","大同區","延平里"
"1404","內湖區","五分里"
"1405","內湖區","五分里"
"1406","內湖區","五分里"
"1407","內湖區","五分里"
"1408","信義區","黎忠里"
"1409","士林區","天福里"
"1410","士林區","社新里"
"1411","文山區","興安里"
"1412","北投區","清江里"
"1413","文山區","樟新里"
"1414","北投區","一德里"
"1415","文山區","興邦里"
"1416","文山區","興邦里"
"1417","萬華區","雙園里"
"1418","北投區","奇岩里"
"1419","松山區","莊敬里"
"1420","北投區","中央里"
"1421","士林區","天母里"
"1422","萬華區","孝德里"
"1423","松山區","吉祥里"
"1424","北投區","清江里"
"1425","文山區","試院里"
"1426","士林區","百齡里"
"1427","萬華區","孝德里"
"1428","信義區","景新里"
"1429","北投區","中央里"
"1430","大安區","黎元里"
"1431","文山區","景慶里"
"1432","內湖區","樂康里"
"1433","文山區","博嘉里"
"1434","松山區","慈祐里"
"1435","松山區","慈祐里"
"1436","松山區","富錦里"
"1437","中正區","林興里"
"1438","中山區","新庄里"
"1439","松山區","龍田里"
"1440","松山區","吉祥里"
"1441","內湖區","安湖里"
"1442","內湖區","紫陽里"
"1443","內湖區","安湖里"
"1444","中山區","江山里"
"1445","士林區","天壽里"
"1446","中正區","忠勤里"
"1447","內湖區","安湖里"
"1448","南港區","新富里"
"1449","士林區","前港里"
"1450","士林區","福華里"
"1451","大安區","德安里"
"1452","大安區","德安里"
"1453","內湖區","東湖里"
"1454","南港區","新富里"
"1455","北投區","中心里"
"1456","北投區","榮光里"
"1457","文山區","萬隆里"
"1458","文山區","萬隆里"
"1459","萬華區","萬壽里"
"1460","北投區","稻香里"
"1461","萬華區","錦德里"
"1462","士林區","天和里"
"1463","北投區","吉慶里"
"1464","松山區","富錦里"
"1465","大安區","龍生里"
"1466","大同區","延平里"
"1467","大同區","延平里"
"1468","北投區","桃源里"
"1469","萬華區","錦德里"
"1470","大同區","蓬萊里"
"1471","士林區","福順里"
"1472","大安區","龍生里"
"1473","中正區","廈安里"
"1474","松山區","中崙里"
"1475","內湖區","湖興里"
"1476","中正區","河堤里"
"1477","內湖區","碧山里"
"1478","文山區","華興里"
"1479","士林區","天壽里"
"1480","萬華區","富福里"
"1481","士林區","福佳里"
"1482","士林區","蘭興里"
"1483","中山區","中原里"
"1484","北投區","中心里"
"1485","中山區","中原里"
"1486","文山區","政大里"
"1487","文山區","樟新里"
"1488","南港區","新富里"
"1489","北投區","榮光里"
"1490","北投區","中庸里"
"1491","士林區","福安里"
"1492","士林區","福安里"
"1493","中山區","新喜里"
"1494","南港區","新富里"
"1495","大同區","老師里"
"1496","萬華區","壽德里"
"1497","萬華區","壽德里"
"1498","萬華區","壽德里"
"1499","南港區","東新里"
"1500","南港區","東新里"
"1501","中山區","新庄里"
"1502","士林區","後港里"
"1503","北投區","桃源里"
"1504","北投區","關渡里"
"1505","士林區","天玉里"
"1506","大安區","德安里"
"1507","北投區","永和里"
"1508","信義區","五全里"
"1509","大安區","德安里"
"1510","北投區","中心里"
"1511","內湖區","港墘里"
"1512","大安區","德安里"
"1513","內湖區","港墘里"
"1514","北投區","溫泉里"
"1515","中山區","晴光里"
"1516","文山區","景慶里"
"1517","北投區","文化里"
"1518","北投區","稻香里"
"1519","北投區","永欣里"
"1520","萬華區","新忠里"
"1521","信義區","黎平里"
"1522","大同區","隆和里"
"1523","萬華區","華江里"
"1524","內湖區","東湖里"
"1525","內湖區","石潭里"
"1526","內湖區","港富里"
"1527","內湖區","港富里"
"1528","中山區","朱園里"
"1529","北投區","榮光里"
"1530","萬華區","福音里"
"1531","士林區","社新里"
"1532","文山區","明興里"
"1533","士林區","福中里"
"1534","大同區","老師里"
"1535","內湖區","金瑞里"
"1536","士林區","天和里"
"1537","北投區","裕民里"
"1538","萬華區","福星里"
"1539","內湖區","樂康里"
"1540","內湖區","金湖里"
"1541","大安區","義村里"
"1542","內湖區","金湖里"
"1543","士林區","永倫里"
"1544","內湖區","金湖里"
"1545","北投區","智仁里"
"1546","中正區","愛國里"
"1547","文山區","興福里"
"1548","文山區","興福里"
"1549","士林區","富光里"
"1550","士林區","福中里"
"1551","松山區","吉仁里"
"1552","內湖區","瑞光里"
"1553","內湖區","葫洲里"
"1554","信義區","五全里"
"1555","北投區","桃源里"
"1556","內湖區","港墘里"
"1557","北投區","振華里"
"1558","士林區","新安里"
"1559","文山區","順興里"
"1560","士林區","永倫里"
"1561","內湖區","安湖里"
"1562","大同區","保安里"
"1563","信義區","六合里"
"1564","信義區","六合里"
"1565","大同區","重慶里"
"1566","士林區","天壽里"
"1567","中山區","行孝里"
"1568","萬華區","新和里"
"1569","士林區","福安里"
"1570","士林區","天祿里"
"1571","士林區","天和里"
"1572","萬華區","頂碩里"
"1573","士林區","福華里"
"1574","士林區","福華里"
"1575","萬華區","全德里"
"1576","萬華區","全德里"
"1577","萬華區","新安里"
"1578","中山區","劍潭里"
"1579","士林區","天和里"
"1580","內湖區","金湖里"
"1581","北投區","桃源里"
"1582","內湖區","西湖里"
"1583","士林區","福林里"
"1584","士林區","翠山里"
"1585","士林區","芝山里"
"1586","萬華區","福星里"
"1587","南港區","合成里"
"1588","北投區","中心里"
"1589","文山區","華興里"
"1590","南港區","合成里"
"1591","中山區","永安里"
"1592","信義區","松友里"
"1593","大同區","雙連里"
"1594","萬華區","新起里"
"1595","南港區","百福里"
"1596","南港區","成福里"
"1597","文山區","景東里"
"1598","松山區","東光里"
"1599","中正區","板溪里"
"1600","內湖區","湖濱里"
"1601","大同區","永樂里"
"1602","內湖區","安湖里"
"1603","北投區","林泉里"
"1604","大同區","斯文里"
"1605","信義區","松友里"
"1606","信義區","中行里"
"1607","信義區","黎順里"
"1608","內湖區","碧山里"
"1609","文山區","明興里"
"1610","信義區","敦厚里"
"1611","松山區","鵬程里"
"1612","中正區","忠勤里"
"1613",NA,NA
"1614","文山區","萬隆里"
"1615","萬華區","福星里"
"1616","松山區","莊敬里"
"1617","內湖區","紫陽里"
"1618","大安區","通化里"
"1619","文山區","興家里"
"1620","內湖區","西康里"
"1621","萬華區","和德里"
"1622","大安區","通化里"
"1623","萬華區","孝德里"
"1624","內湖區","金湖里"
"1625","士林區","舊佳里"
"1626","文山區","指南里"
"1627","中山區","朱崙里"
"1628","中山區","中庄里"
"1629","信義區","泰和里"
"1630","信義區","三張里"
"1631","信義區","廣居里"
"1632","南港區","南港里"
"1633","文山區","興福里"
"1634","文山區","樟文里"
"1635","中山區","北安里"
"1636","大同區","星明里"
"1637","大安區","龍陣里"
"1638","大安區","龍陣里"
"1639","信義區","中行里"
"1640","萬華區","萬壽里"
"1641","萬華區","福音里"
"1642","內湖區","樂康里"
"1643","南港區","東新里"
"1644","文山區","萬芳里"
"1645","萬華區","萬壽里"
"1646","大安區","敦煌里"
"1647","信義區","廣居里"
"1648","大安區","和安里"
"1649","中正區","螢雪里"
"1650","文山區","興光里"
"1651","文山區","明義里"
"1652","大安區","建安里"
"1653","萬華區","福星里"
"1654","松山區","安平里"
"1655","文山區","明興里"
"1656","北投區","一德里"
"1657","內湖區","金龍里"
"1658","松山區","安平里"
"1659","士林區","富光里"
"1660","北投區","立農里"
"1661","松山區","民有里"
"1662","文山區","萬興里"
"1663","文山區","興福里"
"1664","北投區","振華里"
"1665","中山區","松江里"
"1666","北投區","榮華里"
"1667","大同區","星明里"
"1668","士林區","芝山里"
"1669","萬華區","頂碩里"
"1670","萬華區","孝德里"
"1671","北投區","永欣里"
"1672","中正區","河堤里"
"1673","大安區","車層里"
"1674","信義區","景聯里"
"1675","萬華區","錦德里"
"1676","松山區","民有里"
"1677","北投區","溫泉里"
"1678","中正區","南福里"
"1679",NA,NA
"1680","萬華區","新和里"
